26652.666658370694,4197
26929.50608026027,3816
33602.14670094709,1939
25366.208641794157,4523
24398.01202052389,4495
25143.812470986555,5172
27597.18956156807,4163
26532.533849073152,3448
24609.891590149626,4813
26757.302387911303,4336
26114.40498696239,4424
28348.37648119835,3304
25407.790444011043,4732
29031.9814593825,3423
24889.856754606484,4777
25805.85415883819,4266
25925.223017404012,4200
28707.361706265656,3109
27298.82411285114,3871
29176.63290386172,3333
25594.593944780398,4581
30328.196135948707,2388
28358.608748642342,3222
25530.90406044366,4309
27348.53569133088,3696
29036.314743509844,3226
30918.239361608605,2852
28361.542640139298,3557
30154.523472067067,2777
26824.456634425336,3731
25382.332711339175,4213
28357.741326680927,3380
33142.810442247544,2050
28709.142815923275,3308
26605.83765710257,3859
27769.269853591628,3366
31053.815295000724,2519
26114.83388582955,3988
26791.547701912546,3697
28891.69560798606,2953
29249.016170331088,3339
29915.76018095517,2988
25273.716147603995,4040
28795.24944234121,3023
25914.41755035478,3502
26606.069062374754,3483
30612.194361963513,2691
26048.610478243943,4220
27318.49816488205,3912
24414.290682592287,5349
